cue,numFlash,targetLoc,ISI,response,RT,accuracy,sub,SDT
1,2,1,35,2,0.00119787499988888,1,st,HI
0,2,4,35,2,0.00119891699978325,1,st,HI
0,2,4,35,2,0.00121162499999627,1,st,HI
1,1,2,23,1,0.00121179200050392,1,st,CR
1,1,5,11,1,0.00121549999948911,1,st,CR
0,1,5,11,1,0.00150179199954437,1,st,CR
1,2,2,23,1,0.00116995899952599,0,st,MI
0,2,5,35,2,0.00117975000011938,1,st,HI
1,2,6,23,2,0.0011907500002053,1,st,HI
1,1,3,23,1,0.00119620799978293,1,st,CR
0,1,6,11,1,0.00120574999982637,1,st,CR
0,1,5,23,2,0.00119241599986708,0,st,FA
1,2,4,23,1,0.001145207999798,0,st,MI
0,2,1,11,2,0.0012620830002561,1,st,HI
0,1,1,23,2,0.00123537499985105,0,st,FA
1,1,1,11,1,0.00126687500051048,1,st,CR
0,2,2,23,2,0.00120645799961494,1,st,HI
0,1,6,11,2,0.00118050000037329,0,st,FA
0,2,6,11,1,0.00122354199993424,0,st,MI
1,1,3,11,1,0.00122212499991292,1,st,CR
1,1,4,35,1,0.00121791700075846,1,st,CR
1,1,6,11,1,0.0011715410000761,1,st,CR
0,1,4,11,2,0.00118750000001455,0,st,FA
1,1,1,35,1,0.00119249999988824,1,st,CR
1,1,6,11,1,0.00118087499959074,1,st,CR
0,2,1,11,1,0.00117224999939936,0,st,MI
1,1,6,23,1,0.00122329199984961,1,st,CR
0,1,2,11,1,0.00116016599986324,1,st,CR
0,1,5,11,2,0.00139258399940445,0,st,FA
0,1,2,11,2,0.00120966699978453,0,st,FA
0,1,4,23,2,0.0011764580003728,0,st,FA
1,2,5,23,1,0.00116458299999067,0,st,MI
1,1,6,35,1,0.00118299999940064,1,st,CR
1,1,5,11,1,0.00136299999940093,1,st,CR
0,1,6,23,2,0.00123391700071807,0,st,FA
0,2,4,11,2,0.00118816699978197,1,st,HI
1,2,2,23,1,0.00116733300001215,0,st,MI
0,2,1,35,1,0.00122554199970182,0,st,MI
0,2,3,23,2,0.00131912500000908,1,st,HI
0,2,3,35,2,0.001172416999907,1,st,HI
